dataset,results_path,model,negation_count,runs,accuracy,inadmissible_rate,mean_reasoning_tokens,mean_completion_tokens,mean_total_tokens
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,18,1,1.0,0.0,32.0,55.0,156.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,19,1,1.0,0.0,31.0,46.0,148.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,20,1,1.0,0.0,20.0,34.0,137.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,50,1,1.0,0.0,142.0,1404.0,1537.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,51,1,0.0,0.0,156.0,1977.0,2111.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,100,1,0.0,1.0,,,
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,101,1,0.0,1.0,,,
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,500,1,1.0,0.0,358.0,4406.0,4989.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,501,1,1.0,0.0,602.0,8521.0,9105.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,0,1,1.0,0.0,138.0,139.0,184.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,1,1,1.0,0.0,228.0,229.0,275.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,2,1,1.0,0.0,150.0,151.0,198.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,3,1,1.0,0.0,119.0,120.0,168.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,4,1,1.0,0.0,235.0,236.0,285.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,5,1,1.0,0.0,228.0,229.0,279.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,6,1,1.0,0.0,264.0,265.0,316.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,7,1,1.0,0.0,309.0,310.0,362.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,8,1,1.0,0.0,318.0,319.0,372.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,9,1,1.0,0.0,395.0,396.0,450.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,10,1,1.0,0.0,492.0,493.0,548.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,11,1,1.0,0.0,520.0,521.0,577.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,12,1,1.0,0.0,477.0,478.0,535.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,13,1,1.0,0.0,538.0,539.0,597.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,14,1,1.0,0.0,994.0,995.0,1054.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,15,1,1.0,0.0,562.0,563.0,623.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,16,1,1.0,0.0,553.0,554.0,615.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,17,1,1.0,0.0,885.0,886.0,948.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,18,1,1.0,0.0,830.0,831.0,894.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,19,1,1.0,0.0,947.0,948.0,1012.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,20,1,1.0,0.0,592.0,593.0,658.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,50,1,1.0,0.0,2121.0,2122.0,2217.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,51,1,1.0,0.0,1682.0,1683.0,1779.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,100,1,1.0,0.0,4825.0,4826.0,4971.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,101,1,1.0,0.0,2619.0,2620.0,2766.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,500,1,1.0,0.0,22781.0,22782.0,23327.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,501,1,0.0,0.0,10952.0,10953.0,11499.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,0,1,1.0,0.0,70.0,73.0,130.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,1,1,1.0,0.0,130.0,112.0,170.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,2,1,1.0,0.0,68.0,71.0,130.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,3,1,1.0,0.0,99.0,102.0,162.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,4,1,1.0,0.0,219.0,217.0,278.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,5,1,1.0,0.0,276.0,289.0,351.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,6,1,1.0,0.0,283.0,286.0,349.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,7,1,1.0,0.0,292.0,305.0,369.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,8,1,0.0,1.0,219.0,212.0,277.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,9,1,1.0,0.0,395.0,418.0,484.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,10,1,1.0,0.0,492.0,539.0,606.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,11,1,1.0,0.0,370.0,372.0,440.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,12,1,1.0,0.0,343.0,380.0,448.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,13,1,1.0,0.0,533.0,534.0,604.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,14,1,1.0,0.0,700.0,763.0,834.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,15,1,1.0,0.0,387.0,425.0,497.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,16,1,1.0,0.0,1011.0,1109.0,1182.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,17,1,1.0,0.0,392.0,458.0,531.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,18,1,1.0,0.0,499.0,582.0,657.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,19,1,1.0,0.0,2262.0,2678.0,2754.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,20,1,1.0,0.0,528.0,531.0,608.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,50,1,0.0,1.0,,,
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,51,1,0.0,1.0,,,
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,100,1,1.0,0.0,12347.0,13700.0,13857.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,101,1,0.0,1.0,,,
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,500,1,0.0,1.0,,,
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,501,1,0.0,1.0,,,
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,0,1,1.0,0.0,82.0,89.0,144.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,1,1,1.0,0.0,85.0,92.0,148.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,2,1,1.0,0.0,99.0,106.0,163.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,3,1,1.0,0.0,126.0,133.0,191.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,4,1,1.0,0.0,130.0,137.0,196.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,5,1,1.0,0.0,90.0,97.0,157.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,6,1,1.0,0.0,96.0,103.0,164.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,7,1,1.0,0.0,138.0,145.0,207.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,8,1,1.0,0.0,113.0,120.0,183.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,9,1,1.0,0.0,120.0,127.0,191.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,10,1,1.0,0.0,122.0,129.0,194.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,11,1,1.0,0.0,179.0,186.0,252.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,12,1,1.0,0.0,114.0,121.0,188.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,13,1,1.0,0.0,275.0,282.0,350.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,14,1,1.0,0.0,131.0,138.0,207.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,15,1,1.0,0.0,253.0,260.0,330.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,16,1,0.0,1.0,,,
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,17,1,1.0,0.0,341.0,348.0,420.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,18,1,1.0,0.0,186.0,193.0,266.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,19,1,1.0,0.0,1491.0,1498.0,1572.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,20,1,1.0,0.0,198.0,205.0,280.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,50,1,0.0,1.0,,,
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,51,1,0.0,1.0,,,
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,100,1,0.0,1.0,,,
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,101,1,0.0,1.0,,,
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,500,1,0.0,1.0,,,
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,501,1,0.0,1.0,,,
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,0,1,1.0,0.0,0.0,5.0,88.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,1,1,1.0,0.0,0.0,5.0,89.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,2,1,1.0,0.0,0.0,5.0,90.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,3,1,1.0,0.0,0.0,5.0,91.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,4,1,1.0,0.0,0.0,5.0,92.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,5,1,0.0,0.0,0.0,5.0,93.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,6,1,1.0,0.0,0.0,5.0,94.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,7,1,0.0,0.0,0.0,5.0,95.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,8,1,1.0,0.0,0.0,5.0,96.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,9,1,1.0,0.0,35.0,119.0,211.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,10,1,1.0,0.0,24.0,33.0,126.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,11,1,1.0,0.0,24.0,71.0,165.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,12,1,1.0,0.0,45.0,87.0,182.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,13,1,1.0,0.0,33.0,80.0,176.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,14,1,1.0,0.0,19.0,48.0,145.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,15,1,1.0,0.0,40.0,89.0,187.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,16,1,1.0,0.0,22.0,33.0,132.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,17,1,0.0,0.0,0.0,5.0,105.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,18,1,1.0,0.0,45.0,56.0,157.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,19,1,1.0,0.0,54.0,51.0,153.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,20,1,1.0,0.0,38.0,37.0,140.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,50,1,1.0,0.0,66.0,993.0,1126.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,51,1,0.0,0.0,31.0,34.0,168.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,anthropic/claude-opus-4.7,100,1,1.0,0.0,408.0,6638.0,6821.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,0,1,1.0,0.0,131.0,132.0,177.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,1,1,1.0,0.0,151.0,152.0,198.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,2,1,1.0,0.0,147.0,148.0,195.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,3,1,1.0,0.0,131.0,132.0,180.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,4,1,1.0,0.0,301.0,302.0,351.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,5,1,1.0,0.0,231.0,232.0,282.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,6,1,1.0,0.0,300.0,301.0,352.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,7,1,1.0,0.0,210.0,211.0,263.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,8,1,1.0,0.0,304.0,305.0,358.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,9,1,1.0,0.0,291.0,292.0,346.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,10,1,1.0,0.0,556.0,557.0,612.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,11,1,1.0,0.0,440.0,441.0,497.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,12,1,1.0,0.0,546.0,547.0,604.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,13,1,1.0,0.0,773.0,774.0,832.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,14,1,1.0,0.0,895.0,896.0,955.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,15,1,1.0,0.0,676.0,677.0,737.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,16,1,1.0,0.0,523.0,524.0,585.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,17,1,1.0,0.0,578.0,579.0,641.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,18,1,1.0,0.0,856.0,857.0,920.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,19,1,1.0,0.0,917.0,918.0,982.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,20,1,1.0,0.0,749.0,750.0,815.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,50,1,1.0,0.0,1849.0,1850.0,1945.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,51,1,1.0,0.0,4800.0,4801.0,4897.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,google/gemini-3.5-flash,100,1,1.0,0.0,3207.0,3208.0,3353.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,moonshotai/kimi-k2.6,0,1,1.0,0.0,305.0,273.0,330.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,moonshotai/kimi-k2.6,1,1,1.0,0.0,81.0,84.0,142.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,moonshotai/kimi-k2.6,2,1,1.0,0.0,91.0,92.0,151.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,moonshotai/kimi-k2.6,3,1,1.0,0.0,210.0,198.0,258.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,moonshotai/kimi-k2.6,4,1,1.0,0.0,502.0,497.0,557.0
boolean_literal_false_sequential_through_100-answers,/home/v/negation-chains/Answers/boolean_literal_false_sequential_through_100-answers.csv,moonshotai/kimi-k2.6,5,1,1.0,0.0,445.0,479.0,541.0
