"{""models"": [""openai/gpt-5.5-pro"", ""anthropic/claude-opus-4.7"", ""moonshotai/kimi-k2.6"", ""google/gemini-3.5-flash""], ""questions_csv"": ""/home/v/negation-chains/Questions/investigation_sentiment_literal.csv"", ""reasoning"": {""max_tokens"": 65536}, ""runner"": ""run_sequential_negation_probe.py"", ""system_prompt"": ""Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation."", ""targeted_counts"": [0, 1, 2, 5, 10, 20, 50, 51], ""timeout_seconds"": 30}"
NegationCount,ExpectedAnswer,Question,model,run_index,max_tokens,reasoning_tokens,prompt_tokens,completion_tokens,total_tokens,finish_reason,answer,matches_expected,raw_response,response_source
10,positive,The movie review is not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,anthropic/claude-opus-4.7,1,,32,95,83,178,stop,positive,True,positive,live
10,positive,The movie review is not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,moonshotai/kimi-k2.6,1,,410,64,409,473,stop,positive,True,positive,live
10,positive,The movie review is not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,google/gemini-3.5-flash,1,,378,53,379,432,stop,positive,True,positive,live
20,positive,The movie review is not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,openai/gpt-5.5-pro,1,,208,73,215,288,stop,positive,True,positive,live
20,positive,The movie review is not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,anthropic/claude-opus-4.7,1,,0,105,6,111,stop,positive,True,positive,live
20,positive,The movie review is not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,moonshotai/kimi-k2.6,1,,284,75,287,362,stop,positive,True, positive,live
20,positive,The movie review is not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,google/gemini-3.5-flash,1,,386,63,387,450,stop,positive,True,positive,live
50,positive,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,openai/gpt-5.5-pro,1,,475,103,482,585,stop,positive,True,positive,live
50,positive,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,anthropic/claude-opus-4.7,1,,28,135,37,172,stop,negative,False,negative,live
50,positive,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,moonshotai/kimi-k2.6,1,,15197,105,16384,16489,length,,Inadmissible,,live
50,positive,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,google/gemini-3.5-flash,1,,1876,93,1877,1970,stop,positive,True,positive,live
51,negative,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,openai/gpt-5.5-pro,1,,1125,104,1132,1236,stop,negative,True,negative,live
51,negative,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,anthropic/claude-opus-4.7,1,,37,136,44,180,stop,negative,True,negative,live
51,negative,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,moonshotai/kimi-k2.6,1,,2885,106,3171,3277,stop,positive,False, positive,live
51,negative,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,google/gemini-3.5-flash,1,,3350,94,3351,3445,stop,negative,True,negative,live
